,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,reorderPointsAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node1InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,node0InventoriesAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll,rewardsAll
133,4,4,5,4,4,7,4,4,3,4,3,0,1,0,1,2,0,0,2,0,12,26,17,11,17,14,10,13,9,13,,,,,,,,,,-4065.0
134,7,4,5,4,6,7,4,4,1,4,3,3,1,0,1,0,0,0,2,0,12,13,17,11,17,6,10,13,9,26,-7060.0,,-5085.0,,-5085.0,,-4050.0,-4065.0,-4045.0,
135,7,4,5,4,6,4,4,4,1,4,3,3,1,0,1,0,0,0,2,0,12,13,23,11,17,6,26,29,22,26,,,,-4055.0,,-6030.0,,,,
136,7,4,5,4,6,4,4,4,1,4,3,3,1,0,1,0,0,0,2,0,12,13,23,21,17,10,26,29,22,16,,-7065.0,,,,,,,,
137,7,4,5,4,6,4,4,4,1,4,0,3,2,0,1,0,0,0,0,0,5,20,12,21,7,10,16,19,14,16,,,,,,,,,,
138,5,4,5,4,2,4,4,4,1,3,0,3,2,0,1,0,0,0,0,0,5,20,12,11,7,10,16,19,14,16,-6025.0,,,,-7035.0,,,,,-4080.0
139,5,4,12,4,2,4,4,4,1,3,0,0,2,0,1,0,0,0,0,0,25,13,12,11,23,0,16,19,14,25,,,-6060.0,,,,-4080.0,-4095.0,,
140,5,4,12,4,2,4,4,4,1,3,0,0,2,0,1,0,0,0,0,0,25,13,12,11,23,0,24,21,14,25,,,,-4055.0,,,,,,
141,5,4,12,4,2,4,4,4,4,3,0,0,2,0,1,0,0,0,0,0,25,13,12,21,23,0,24,21,14,15,,-4065.0,,,,-4000.0,,,-20070.0,
142,5,4,0,4,2,4,4,4,4,3,0,0,0,0,1,0,0,0,0,0,15,24,4,21,13,27,14,11,21,15,,,-8020.0,,,,,,,
143,5,4,0,4,2,4,4,4,4,3,0,0,0,0,1,0,0,0,0,0,15,24,23,11,13,27,14,11,21,15,,,,,,,,,,
144,6,4,0,4,2,4,4,4,4,4,0,0,0,0,1,0,0,0,0,0,15,14,23,11,13,27,14,11,11,15,-4075.0,,,,,,-4070.0,-4055.0,,-2075.0
145,6,4,0,4,6,4,4,4,4,4,0,0,0,0,1,0,0,0,0,0,25,14,23,11,13,17,20,23,11,22,,,,-4055.0,-3065.0,,,,,
146,6,3,0,4,6,4,4,4,6,4,0,0,2,0,1,0,0,0,0,0,25,14,11,21,26,17,20,23,11,22,,-4070.0,,,,,,,-44055.0,
147,6,3,0,4,6,4,4,4,6,4,0,0,2,0,1,0,0,0,0,0,15,22,11,21,26,17,10,13,18,12,,,,,,-24085.0,,,,
